incident_id,location_id,date_time,incident_vehicle_type,deaths_occurred,severity,weather_condition
1,52,2024-05-10 11:35:18,Bus,0,Major,Sunny
2,93,2024-10-05 13:47:50,Car,0,Moderate,Snowy
3,15,2024-08-03 15:14:07,Bus,0,Major,Sunny
4,72,2025-04-01 02:03:18,Bike,0,Minor,Rainy
5,61,2024-05-14 12:16:32,Car,2,Moderate,Foggy
6,21,2024-12-26 13:15:02,Bus,3,Minor,Sunny
7,83,2025-01-17 22:20:15,Car,0,Minor,Sunny
8,87,2024-09-13 03:41:05,Bus,0,Moderate,Foggy
9,75,2024-12-29 06:19:32,Bus,0,Moderate,Rainy
10,75,2024-12-09 08:14:00,Bus,0,Minor,Sunny
11,88,2024-07-14 05:45:01,Car,2,Moderate,Rainy
12,100,2024-12-30 23:38:45,Car,1,Major,Foggy
13,24,2024-06-24 16:31:41,Bike,1,Minor,Rainy
14,3,2025-03-01 04:44:44,Bus,0,Minor,Foggy
15,22,2025-03-22 05:42:38,Bike,0,Minor,Snowy
16,53,2024-10-24 23:17:05,Bus,1,Major,Foggy
17,2,2024-08-27 18:30:08,Bike,0,Minor,Snowy
18,88,2024-08-10 00:34:25,Car,3,Major,Sunny
19,30,2024-06-10 00:53:05,Bike,2,Minor,Snowy
20,38,2024-09-23 16:58:11,Car,0,Moderate,Sunny
21,2,2024-10-09 16:54:51,Bus,0,Major,Foggy
22,64,2024-06-16 20:11:27,Bike,0,Major,Foggy
23,60,2024-05-28 14:26:28,Car,2,Minor,Rainy
24,21,2025-02-01 04:02:14,Bike,0,Minor,Rainy
25,33,2025-04-08 01:31:23,Bike,0,Minor,Rainy
26,76,2024-06-08 20:11:47,Bike,0,Moderate,Foggy
27,58,2025-01-28 09:00:49,Bike,2,Major,Foggy
28,22,2025-02-19 14:17:27,Bus,0,Minor,Rainy
29,89,2024-10-14 12:38:25,Bus,0,Major,Foggy
30,49,2025-02-14 10:17:46,Car,0,Minor,Rainy
31,91,2024-11-20 21:15:01,Bus,0,Moderate,Snowy
32,59,2024-10-08 01:50:33,Bike,1,Major,Rainy
33,42,2024-07-23 19:52:13,Car,0,Major,Foggy
34,92,2024-08-15 09:38:26,Car,0,Major,Sunny
35,60,2024-05-21 06:55:30,Bus,1,Major,Sunny
36,80,2025-01-22 23:54:13,Bike,0,Moderate,Snowy
37,15,2024-12-15 12:44:53,Bike,3,Moderate,Foggy
38,62,2024-12-11 00:07:45,Car,0,Major,Foggy
39,62,2025-01-21 23:54:10,Car,2,Moderate,Sunny
40,47,2024-12-25 00:09:37,Bus,0,Moderate,Foggy
