location_id,date_time,vehicle_count,count_of_cars,count_of_bikes,count_of_buses,average_speed_kmph,weather_condition,congestion_level,traffic_volume,temperature_celsius,humidity_percent
8,24-01-2025 20:34,1417,1410,1,6,26.65,Rainy,Medium,High,44.2,58.1
8,05-05-2024 01:33,369,197,87,85,34.65,Sunny,Medium,Low,25,84.2
11,13-01-2025 06:30,514,412,7,95,79.27,Foggy,Low,Medium,26.1,64.6
16,12-04-2025 16:22,1329,1132,82,115,57.03,Rainy,Low,High,41.7,32
37,05-10-2024 09:08,158,11,54,93,25.2,Rainy,Medium,Low,25.7,84.3
27,23-05-2024 13:33,63,30,20,13,49.51,Rainy,Medium,Low,37,47.7
37,02-10-2024 20:24,106,106,0,0,74.4,Snowy,Low,Low,35,62.9
18,04-05-2024 02:35,523,106,309,108,69.74,Sunny,Low,Medium,32.6,67.7
76,24-12-2024 07:13,760,624,34,102,31.95,Snowy,Medium,Medium,20.7,55.8
39,09-08-2024 05:57,257,125,11,121,44.66,Sunny,Medium,Low,42.7,86.3
86,28-09-2024 21:15,1076,901,72,103,19.37,Sunny,High,High,43,47.1
78,12-04-2025 02:56,697,598,64,35,44.6,Sunny,Medium,Medium,37.7,78.8
18,22-07-2024 21:22,605,243,237,125,70.59,Foggy,Low,Medium,36.9,63.7
21,04-01-2025 20:32,1319,126,314,879,11.31,Sunny,High,High,34.9,43.2
50,25-04-2025 01:34,1343,599,461,283,68.79,Snowy,Low,High,33.2,35.8
48,28-09-2024 15:38,914,909,2,3,51.71,Rainy,Low,Medium,44.2,88.5
3,19-06-2024 03:51,1034,31,906,97,40.77,Snowy,Medium,High,40.2,82.1
8,16-02-2025 02:17,486,63,164,259,65.6,Foggy,Low,Medium,25.4,82.7
46,22-09-2024 03:23,772,168,44,560,60.25,Snowy,Low,Medium,39.6,40.1
85,06-10-2024 14:48,1336,896,392,48,17.35,Foggy,High,High,40,48.6
55,24-02-2025 21:09,1244,679,495,70,73.95,Foggy,Low,High,35.2,55.8
34,19-01-2025 19:55,724,311,374,39,75.36,Sunny,Low,Medium,32.1,91.7
52,10-06-2024 15:47,1287,102,930,255,64.42,Sunny,Low,High,21,48.9
2,29-04-2024 20:01,147,130,6,11,57.79,Sunny,Low,Low,27.6,40.7
94,02-07-2024 13:05,1142,595,14,533,56.86,Rainy,Low,High,27,69.3
99,19-01-2025 00:33,347,81,104,162,27.5,Rainy,Medium,Low,34.6,68.7
25,21-05-2024 20:54,1077,235,9,833,51.05,Foggy,Low,High,28.8,67.3
93,26-09-2024 21:24,927,144,282,501,13.17,Rainy,High,Medium,36,80
69,08-12-2024 15:15,323,260,62,1,29.79,Rainy,Medium,Low,44.4,52.9
17,25-07-2024 05:23,680,73,221,386,71.39,Foggy,Low,Medium,40,81.7
75,27-03-2025 17:32,1022,390,130,502,70.33,Foggy,Low,High,32.9,42.8
30,22-08-2024 18:13,1155,142,375,638,72.91,Snowy,Low,High,32.4,79.5
39,31-08-2024 23:07,1008,720,0,288,31.3,Foggy,Medium,High,22.2,82.6
100,07-01-2025 22:56,849,39,1,809,38.99,Rainy,Medium,Medium,34.5,85.5
32,19-11-2024 22:20,863,98,394,371,14.74,Rainy,High,Medium,22.8,90.3
86,22-05-2024 02:35,1129,903,129,97,31.69,Rainy,Medium,High,37,38.2
88,17-06-2024 01:36,110,59,27,24,51.32,Sunny,Low,Low,34,52.1
2,11-10-2024 01:56,526,393,110,23,22.7,Rainy,High,Medium,39.7,90.3
54,20-01-2025 09:37,1381,164,1145,72,77.97,Rainy,Low,High,25.3,67.7
6,30-05-2024 06:06,1177,557,371,249,14.54,Foggy,High,High,38.4,44.1
25,20-12-2024 21:59,537,131,327,79,59.78,Snowy,Low,Medium,22,74
43,14-11-2024 04:15,150,109,4,37,42.56,Rainy,Medium,Low,25.6,32.9
26,10-06-2024 16:29,1377,1162,145,70,12.95,Sunny,High,High,35.9,75.5
79,08-05-2024 00:29,1426,1333,0,93,78.24,Snowy,Low,High,40.1,66.5
68,22-02-2025 00:53,1199,259,840,100,22.23,Snowy,High,High,27.5,54.4
46,13-10-2024 07:19,714,90,111,513,52.81,Foggy,Low,Medium,24.6,58.2
70,20-04-2025 02:07,535,410,94,31,66.23,Rainy,Low,Medium,28.4,89
18,01-08-2024 11:04,1382,512,420,450,14.82,Rainy,High,High,20.1,30.1
86,05-11-2024 15:27,288,9,210,69,51.83,Snowy,Low,Low,31.6,63.1
100,28-01-2025 16:01,368,123,96,149,43.1,Foggy,Medium,Low,37,51.9
85,20-07-2024 21:58,1422,1103,80,239,70.98,Sunny,Low,High,29.6,53.1
37,27-12-2024 04:25,425,405,18,2,63.21,Rainy,Low,Medium,20.7,53.8
40,04-09-2024 23:09,984,53,6,925,46.32,Snowy,Medium,Medium,36.7,34.4
32,31-05-2024 18:18,756,250,24,482,71.66,Rainy,Low,Medium,38.3,32.5
75,27-10-2024 15:53,1279,302,793,184,37.53,Snowy,Medium,High,42.1,87.1
27,26-05-2024 03:49,298,232,55,11,15.47,Rainy,High,Low,25.1,80.2
89,28-11-2024 10:06,1322,614,697,11,35.35,Foggy,Medium,High,36.4,56.1
13,28-09-2024 00:14,1465,732,716,17,62.77,Sunny,Low,High,42.8,56.6
20,16-03-2025 12:37,434,200,137,97,74.66,Rainy,Low,Medium,31,82.6
42,17-08-2024 15:08,388,200,11,177,31.33,Foggy,Medium,Low,42.9,54.7
8,31-12-2024 22:51,596,141,273,182,45.46,Sunny,Medium,Medium,21,54.1
85,18-02-2025 23:35,491,43,347,101,72.23,Foggy,Low,Medium,29.2,85
86,01-04-2025 03:06,509,393,14,102,59.65,Sunny,Low,Medium,38,31.9
44,03-09-2024 02:39,299,69,215,15,60.07,Sunny,Low,Low,42.9,57.7
